品类,时段,主播风格,场次在线峰值,场均观看人数,平均观看时长,点赞数,评论数,分享数,商品点击数,讲解商品数量,场均GMV,客单价,退货率,粉丝占比,付费流量占比,转化率,标签
食品,晚场,专业讲解型,5856.0,46590.0,17.97,34509,371.0,100,4377,5,52084.08,56.18,0.274,0.8356,0.1909,1.199,0
美妆,晚场,测评型,33382.0,106254.0,43.26,205264,4913.0,1342,47407,14,322960.8,130.26,0.1581,0.5586,0.3077,6.308,2
服饰,晚场,专业讲解型,5993.0,49643.0,23.93,35574,818.0,156,5983,5,66183.66,72.61,0.2512,0.757,0.0535,0.63,0
食品,晚场,专业讲解型,9772.0,24830.0,16.95,25159,738.0,241,4339,3,48406.86,30.14,0.2872,0.9251,0.289,1.593,0
美妆,晚场,娱乐互动型,8420.0,63443.0,27.38,118518,1309.0,696,5298,8,316320.57,76.33,0.2025,0.7311,0.358,4.643,1
数码,晚场,娱乐互动型,60849.0,277417.0,43.36,381009,6771.0,2079,54822,18,1914767.38,144.25,0.1551,0.5363,0.5315,15.561,3
食品,晚场,福利型,7754.0,22782.0,16.65,71661,863.0,245,5001,3,91711.66,29.91,0.2481,0.8461,0.2085,1.714,0
食品,早场,福利型,11038.0,68350.0,20.09,99139,1855.0,302,7821,12,205945.18,52.18,0.1661,0.651,0.4049,4.225,1
美妆,早场,福利型,23962.0,82351.0,35.75,184102,6688.0,928,27515,13,454807.59,112.28,0.1607,0.4981,0.5384,9.697,2
食品,晚场,专业讲解型,40254.0,193054.0,47.14,198277,12448.0,2361,56072,18,1417268.34,130.13,0.1451,0.4591,0.4495,13.064,3
美妆,深夜场,测评型,11564.0,37041.0,24.96,114486,2320.0,646,11794,8,125111.5,41.84,0.2319,0.6749,0.3246,2.749,1
美妆,午场,福利型,5622.0,25602.0,17.24,81976,642.0,223,3251,4,63881.55,79.25,0.333,0.7959,0.1499,1.333,0
服饰,晚场,测评型,3948.0,43494.0,19.87,81579,491.0,313,4295,7,43085.21,81.43,0.2975,0.7569,0.2316,0.819,0
食品,早场,测评型,3273.0,32250.0,20.77,27381,903.0,162,4665,4,47712.26,73.94,0.2678,0.9218,0.1837,1.243,0
数码,晚场,娱乐互动型,7954.0,41316.0,13.39,38496,866.0,126,3860,8,83343.45,30.77,0.2155,0.8932,0.1728,2.161,1
服饰,晚场,娱乐互动型,36910.0,122999.0,37.47,210776,8155.0,1394,34162,14,704474.7,111.26,0.1619,0.7032,0.3374,6.651,2
数码,午场,娱乐互动型,4876.0,28128.0,15.32,23136,923.0,136,2411,6,77103.33,64.48,0.2899,0.6054,0.0711,0.3,0
美妆,早场,测评型,9075.0,59166.0,20.47,103460,1888.0,404,7503,9,117743.12,83.69,0.3119,0.768,0.3375,3.697,1
服饰,早场,娱乐互动型,30075.0,94395.0,29.2,195339,3409.0,793,25583,11,370343.0,90.94,0.1883,0.5314,0.3957,7.674,2
服饰,晚场,专业讲解型,14807.0,80883.0,22.41,87432,1369.0,346,13430,9,249092.86,81.06,0.2216,0.7157,0.3548,3.983,1
数码,晚场,测评型,6918.0,35934.0,17.13,38160,618.0,234,10439,5,78629.73,46.97,0.2529,0.8836,0.1262,0.779,0
服饰,深夜场,福利型,11193.0,115822.0,43.2,182068,2759.0,1780,20603,15,373998.97,93.63,0.1638,0.6106,0.3918,8.322,2
服饰,深夜场,专业讲解型,17082.0,71962.0,33.59,96312,3680.0,1467,28647,14,403508.37,126.06,0.2024,0.5857,0.4842,8.307,2
美妆,晚场,测评型,27875.0,155550.0,36.36,129702,3131.0,1310,25414,9,645863.64,71.66,0.1369,0.6581,0.556,9.946,2
食品,早场,福利型,9056.0,22985.0,14.09,69211,806.0,272,2617,5,36362.15,36.0,0.2994,0.756,0.1545,1.229,0
美妆,晚场,专业讲解型,8546.0,15915.0,12.67,37004,772.0,209,4575,5,63784.05,50.58,0.3102,0.7014,0.175,1.166,0
食品,晚场,娱乐互动型,64822.0,353236.0,42.74,384565,9224.0,2713,78862,18,1255662.26,124.75,0.0861,0.6215,0.5358,11.936,3
美妆,晚场,专业讲解型,15260.0,66118.0,21.73,80101,1109.0,464,11543,12,218890.36,33.98,0.2167,0.8792,0.3493,2.647,1
数码,午场,测评型,7529.0,53162.0,23.37,44141,1203.0,481,9214,9,117662.8,88.85,0.1786,0.7914,0.1427,4.771,1
服饰,早场,娱乐互动型,12014.0,66763.0,23.07,68249,1743.0,348,6973,9,121491.53,81.75,0.1744,0.6837,0.2409,2.632,1
食品,午场,测评型,16995.0,116625.0,28.08,155741,,834,17621,10,211637.36,85.99,0.192,0.4221,0.3006,9.584,2
数码,晚场,娱乐互动型,59325.0,306363.0,36.91,381837,5874.0,7575,36016,15,803403.2,118.06,0.1673,0.6438,0.5119,11.792,3
服饰,早场,福利型,10067.0,49284.0,23.89,112249,2317.0,489,7380,10,180790.1,91.99,0.2477,0.5463,0.1653,2.872,1
美妆,深夜场,福利型,39853.0,249036.0,44.59,445364,15750.0,3574,61321,20,877470.2,139.52,0.0907,0.5062,0.649,12.899,3
服饰,晚场,娱乐互动型,6390.0,30374.0,13.09,92708,898.0,177,4235,3,58788.6,72.7,0.248,0.6937,0.2848,2.04,1
服饰,深夜场,福利型,8846.0,40795.0,19.02,67820,1667.0,372,6366,9,168046.78,106.61,0.1966,0.6837,0.305,4.097,1
食品,早场,福利型,23016.0,107880.0,30.57,128253,3729.0,998,18145,13,729679.84,88.65,0.1799,0.4673,0.3856,8.165,2
服饰,早场,测评型,7301.0,24450.0,13.4,22571,874.0,252,4583,10,107212.5,49.46,0.2589,0.7976,0.113,0.478,0
美妆,早场,娱乐互动型,6666.0,39996.0,16.68,38688,1559.0,298,3790,6,69600.42,61.51,0.2225,0.6366,0.109,1.177,0
食品,晚场,娱乐互动型,12380.0,71884.0,18.1,83165,2542.0,692,8327,9,458549.4,75.68,0.1957,0.6461,0.2874,2.505,1
服饰,深夜场,专业讲解型,27586.0,182266.0,42.34,295284,8459.0,2660,79754,17,969146.52,135.25,0.14,0.4801,0.6193,13.239,3
食品,早场,专业讲解型,11780.0,,20.39,68218,1918.0,562,8066,8,174174.43,36.12,0.2123,0.6474,0.2672,3.341,1
数码,晚场,娱乐互动型,23849.0,230191.0,41.42,346323,15251.0,4146,61513,17,1656120.99,144.64,0.0914,0.3127,0.5147,15.652,3
食品,早场,测评型,16949.0,85514.0,34.21,97061,5213.0,1500,29895,12,584943.54,108.08,0.1428,0.698,0.3819,8.747,2
数码,晚场,测评型,19583.0,68952.0,25.24,103351,1437.0,590,8106,7,,93.54,0.1953,0.6013,0.2284,2.642,1
服饰,晚场,娱乐互动型,30543.0,132739.0,36.04,186086,4588.0,872,36002,11,640161.62,103.72,0.1332,0.5013,0.5206,8.951,2
食品,早场,测评型,5279.0,61658.0,17.14,30634,1315.0,100,4328,9,62409.5,23.8,0.2561,0.8764,0.2101,0.526,0
美妆,午场,测评型,6085.0,36330.0,20.21,41056,501.0,108,4981,3,60065.69,60.47,0.2302,0.6781,0.1725,1.092,0
美妆,晚场,娱乐互动型,25296.0,112606.0,27.72,173107,5707.0,1437,13278,11,863400.09,106.43,0.1204,0.7385,0.4077,9.495,2
数码,深夜场,测评型,14731.0,168094.0,36.01,239999,5260.0,751,39130,11,455827.11,75.49,0.0986,0.5755,0.3453,7.276,2
美妆,深夜场,专业讲解型,6979.0,20966.0,16.04,47753,1184.0,157,4246,6,67858.26,52.6,0.2658,0.8704,0.2768,1.153,0
服饰,午场,娱乐互动型,17328.0,66424.0,36.08,64395,1626.0,647,11923,12,142454.94,92.29,0.2607,0.7164,0.2031,2.93,1
服饰,早场,娱乐互动型,11647.0,61373.0,22.69,122325,2092.0,399,7506,7,194552.71,75.51,0.2275,0.7001,0.2298,2.285,1
食品,早场,专业讲解型,24036.0,72660.0,28.84,253745,2340.0,1682,42167,12,531615.55,125.14,0.1537,0.6194,0.3563,5.845,2
食品,午场,福利型,15212.0,55390.0,17.92,66917,2376.0,1112,11909,8,235361.17,71.69,0.2068,0.5833,0.3927,4.623,1
食品,午场,娱乐互动型,9806.0,88545.0,20.14,77044,1977.0,646,9115,5,132948.59,99.06,0.2226,0.6961,0.2591,4.255,1
数码,早场,专业讲解型,9715.0,76285.0,20.11,69026,1806.0,480,11409,13,202480.53,33.2,0.2314,0.663,0.2835,2.138,1
美妆,晚场,测评型,15410.0,59766.0,19.21,244930,,498,6506,9,153215.03,68.04,0.2566,0.6978,0.3255,3.004,1
食品,晚场,专业讲解型,38017.0,175183.0,34.31,133448,4534.0,919,26242,12,277490.55,125.19,0.1672,0.5112,0.3652,5.639,2
服饰,深夜场,娱乐互动型,20240.0,112604.0,31.2,138511,5101.0,725,18716,11,554652.55,98.47,0.1543,0.7064,0.4382,5.866,2
食品,晚场,测评型,7037.0,87194.0,24.79,79833,1715.0,634,6384,7,142702.96,107.89,0.2506,0.4838,0.1589,3.717,1
数码,午场,娱乐互动型,9480.0,28112.0,17.9,31592,1184.0,179,3835,7,36753.67,83.75,0.2764,0.8625,0.094,0.741,0
服饰,晚场,娱乐互动型,6611.0,27316.0,11.94,25836,904.0,173,3372,9,74521.5,77.86,0.2513,0.7796,0.1756,0.571,0
食品,午场,测评型,25881.0,95290.0,31.34,132894,6627.0,1238,29240,15,719463.33,118.78,,0.4943,0.3297,7.623,2
食品,午场,娱乐互动型,19919.0,79154.0,31.79,115970,5950.0,1460,47877,14,413958.66,119.73,0.1211,0.473,0.4367,9.512,2
服饰,晚场,福利型,6676.0,23433.0,17.7,40523,1501.0,207,3284,5,47914.54,62.31,0.2906,0.95,0.1303,1.034,0
数码,早场,娱乐互动型,6120.0,25655.0,20.35,32432,1299.0,254,4183,5,151975.75,40.29,0.2804,0.7,0.3228,0.735,0
食品,晚场,测评型,13951.0,60147.0,26.03,97407,1941.0,472,12052,9,216838.74,64.46,0.2793,0.576,0.3142,2.571,1
服饰,晚场,娱乐互动型,5282.0,24074.0,17.29,24891,778.0,100,4535,4,45562.36,74.54,0.2242,,0.1239,2.06,1
美妆,晚场,福利型,19168.0,157878.0,30.95,195087,7718.0,951,26770,14,,102.13,0.1599,0.4109,0.3255,6.659,2
服饰,午场,福利型,,43103.0,22.06,104424,1617.0,950,14042,9,337288.27,49.02,0.2197,0.6893,0.2068,3.087,1
食品,深夜场,娱乐互动型,6360.0,23935.0,8.59,28695,1121.0,208,1773,8,58638.66,40.26,0.3048,0.7058,0.1249,1.333,0
美妆,早场,福利型,46450.0,246959.0,46.17,266645,12967.0,2262,66437,17,1167915.12,147.13,0.03,0.4643,0.6014,15.973,3
食品,早场,娱乐互动型,5344.0,39198.0,17.25,46913,1326.0,237,3150,3,55003.4,68.7,0.2576,,0.1919,0.72,0
服饰,晚场,专业讲解型,14955.0,99619.0,16.17,72400,2422.0,863,11338,8,276846.37,91.64,0.2074,0.6864,0.3744,3.381,1
美妆,晚场,专业讲解型,6392.0,35267.0,15.54,37401,552.0,294,2916,5,79365.15,90.84,0.2552,0.7067,0.1359,0.881,0
食品,深夜场,测评型,10162.0,25919.0,11.58,34490,819.0,248,7566,6,46276.69,69.17,0.2456,0.6773,0.0392,1.716,0
数码,午场,测评型,6004.0,19264.0,8.0,24287,678.0,143,6830,4,88474.16,54.66,0.2685,0.6932,0.1753,0.664,0
食品,晚场,福利型,4981.0,39314.0,17.71,34407,968.0,200,3181,6,61716.27,37.99,0.2132,0.7313,0.2254,1.532,0
食品,深夜场,娱乐互动型,6815.0,27278.0,23.41,30559,375.0,174,5021,6,61558.0,78.78,0.2834,0.8239,0.1048,0.721,0
食品,晚场,娱乐互动型,5450.0,26265.0,13.4,31405,587.0,117,3945,4,113002.22,60.28,0.2793,0.7006,0.1703,1.717,0
食品,早场,福利型,14880.0,58115.0,26.17,82348,1097.0,611,13243,10,208663.35,69.73,0.1918,0.7041,0.3141,4.804,1
服饰,午场,专业讲解型,17834.0,173129.0,35.47,158801,4755.0,1166,10799,11,471533.33,98.58,0.1786,0.6404,0.3843,6.526,2
食品,晚场,测评型,12425.0,63625.0,31.97,38799,1571.0,479,8177,10,282339.85,75.14,0.2105,0.651,0.2716,4.843,1
美妆,晚场,福利型,16027.0,50319.0,18.8,53007,2803.0,607,12342,6,396709.05,65.04,0.2259,0.7284,0.201,4.537,1
美妆,午场,福利型,11967.0,86663.0,27.82,111187,1464.0,825,6501,12,193051.83,28.3,0.2081,0.7123,0.261,4.218,1
服饰,午场,福利型,41168.0,221742.0,41.61,636139,7686.0,3367,61319,14,617631.5,145.21,0.1893,0.4963,0.4119,11.298,3
服饰,午场,福利型,28906.0,92273.0,33.4,278350,4228.0,1075,26211,14,477597.92,122.53,0.1538,0.4437,0.5682,8.603,2
美妆,晚场,福利型,6613.0,27852.0,15.93,39693,978.0,100,7667,5,93983.54,30.19,0.2535,0.7062,0.2976,1.394,0
食品,晚场,娱乐互动型,5717.0,28853.0,21.14,20773,580.0,100,2965,4,43590.24,41.79,0.1995,0.6786,0.276,1.072,0
食品,晚场,测评型,4221.0,23076.0,15.83,47427,1097.0,228,3317,6,68540.98,51.38,0.3413,0.619,0.1612,1.051,0
食品,晚场,测评型,5596.0,29014.0,9.62,43107,1010.0,218,3178,6,55985.77,49.01,0.3454,0.7677,0.085,1.385,0
美妆,晚场,福利型,9697.0,61244.0,26.75,119683,2485.0,363,8829,9,170469.99,70.99,0.2354,0.6321,0.2981,4.595,1
数码,午场,福利型,12865.0,40190.0,18.59,73014,1534.0,533,12782,11,200500.78,67.98,0.1471,0.6656,0.2821,4.065,1
美妆,晚场,专业讲解型,8085.0,24121.0,13.95,33857,609.0,217,4708,3,116604.46,56.84,0.2095,0.7559,0.2025,1.187,0
服饰,午场,测评型,11591.0,41749.0,17.34,125907,2735.0,542,16945,11,228657.88,59.6,0.2806,0.7029,0.2491,3.133,1
食品,晚场,专业讲解型,15789.0,53923.0,24.48,70815,1640.0,360,9972,12,344895.74,82.38,0.2191,0.7275,0.3704,3.672,1
数码,深夜场,专业讲解型,6477.0,37469.0,16.32,16636,990.0,127,3396,7,61108.95,46.21,0.2473,0.7701,0.1472,1.812,0
数码,晚场,福利型,23574.0,95303.0,35.96,79371,4229.0,999,27262,14,840223.75,92.18,0.1905,0.5657,0.2731,9.432,2
服饰,早场,福利型,6134.0,27854.0,14.02,53766,532.0,201,3506,4,75523.89,74.39,0.258,0.8225,0.184,1.172,0
食品,晚场,福利型,40777.0,288952.0,43.94,237255,5806.0,3513,46221,18,1519889.73,122.12,0.0706,0.584,0.5781,11.147,3
数码,晚场,测评型,4650.0,38262.0,12.89,51320,695.0,121,3664,3,73525.53,51.94,0.2989,0.6091,0.2729,0.704,0
服饰,早场,测评型,27894.0,79608.0,34.85,137421,2412.0,717,26046,11,547527.04,72.45,0.0956,0.6598,0.4823,8.352,2
数码,晚场,专业讲解型,55732.0,269400.0,47.38,278760,9098.0,2582,54985,17,1186272.0,145.62,0.0833,0.5141,0.4719,10.79,3
食品,深夜场,专业讲解型,19955.0,236401.0,40.29,551747,7613.0,2552,110692,17,1300269.91,145.7,0.1345,0.4556,0.6178,11.355,3
美妆,早场,福利型,21594.0,108823.0,34.84,326808,3514.0,957,16419,17,534013.13,113.64,0.1231,0.5499,0.4507,6.739,2
服饰,早场,测评型,16108.0,89068.0,28.49,315805,6193.0,1044,26305,11,655432.69,98.16,0.1609,0.5987,0.395,8.335,2
食品,午场,专业讲解型,33299.0,133127.0,35.21,167839,3356.0,1410,27464,10,427930.9,103.51,0.1521,0.6685,0.4484,7.309,2
食品,午场,测评型,16155.0,115343.0,32.05,111549,3560.0,972,29678,13,391632.79,113.44,,0.3204,0.3712,6.643,2
数码,深夜场,娱乐互动型,7372.0,18487.0,16.01,25500,1626.0,200,4263,8,70462.58,39.24,0.2473,0.7996,0.1301,1.881,0
服饰,午场,福利型,17295.0,60620.0,19.38,76545,1068.0,363,14535,13,232106.34,74.34,0.2049,0.5835,0.4448,3.058,1
数码,晚场,测评型,7972.0,57943.0,20.32,82657,1762.0,1498,7438,9,263551.55,75.97,0.2239,0.5764,0.2885,2.558,1
服饰,晚场,娱乐互动型,36802.0,,32.29,137359,4008.0,1163,28186,12,408214.97,83.61,0.1122,0.5312,0.2924,6.636,2
美妆,午场,测评型,12234.0,69790.0,20.8,72943,2172.0,365,8173,11,245285.43,86.83,0.2524,0.5018,0.3883,3.449,1
数码,深夜场,测评型,9590.0,46562.0,24.47,76213,2438.0,262,8829,13,124338.27,71.7,0.1891,0.6869,0.2211,4.488,1
美妆,晚场,娱乐互动型,30902.0,166668.0,36.22,217436,15376.0,1888,28848,11,547482.14,130.67,0.2298,0.6683,0.4728,8.616,2
数码,午场,娱乐互动型,3626.0,27601.0,18.09,55218,1094.0,253,3064,5,38355.44,19.0,0.2959,0.6998,0.2498,0.506,0
美妆,早场,专业讲解型,4570.0,16389.0,16.49,29682,685.0,381,2577,6,45888.05,71.35,0.2804,0.7903,0.1044,0.314,0
食品,晚场,专业讲解型,14848.0,54685.0,24.36,198793,1865.0,836,8285,8,263833.73,83.15,0.1932,0.5952,0.3591,4.073,1
服饰,晚场,福利型,13478.0,63317.0,28.4,125460,1467.0,372,12290,8,210444.26,95.31,0.2466,0.7664,0.1255,3.43,1
服饰,午场,娱乐互动型,4578.0,21072.0,16.09,71154,1867.0,151,4970,7,74444.68,62.18,0.2806,0.895,0.2682,0.3,0
服饰,晚场,测评型,14176.0,90814.0,23.75,91178,1878.0,222,10233,7,140220.26,101.81,0.2376,0.6576,0.2348,3.668,1
食品,深夜场,专业讲解型,8945.0,49819.0,26.47,43165,1764.0,407,10059,7,162439.0,110.63,0.2087,0.6833,0.4396,2.973,1
美妆,午场,娱乐互动型,18116.0,69964.0,24.23,95530,1663.0,568,13992,8,161118.3,71.49,0.2547,0.758,0.2266,3.1,1
服饰,午场,福利型,15161.0,42414.0,21.94,70576,1884.0,1015,6660,5,134688.26,81.17,0.2417,0.695,0.3741,3.276,1
美妆,晚场,娱乐互动型,30412.0,97474.0,32.02,224845,7410.0,692,26257,10,676021.01,118.99,0.2151,0.5072,0.4842,9.825,2
食品,晚场,专业讲解型,16975.0,64153.0,18.16,118236,1182.0,448,10366,10,170570.76,63.68,0.2235,0.7405,0.463,2.723,1
美妆,深夜场,测评型,48043.0,149630.0,40.3,292908,8763.0,2939,70044,17,529147.82,158.1,0.1181,0.5429,0.4934,15.574,3
食品,晚场,娱乐互动型,51844.0,246959.0,39.52,765924,7218.0,2269,72006,14,1806549.12,156.24,0.1515,0.4946,0.5371,14.183,3
服饰,深夜场,专业讲解型,10839.0,61026.0,28.91,96811,2487.0,428,9009,9,135215.32,80.85,0.1829,0.5895,0.3308,2.227,1
美妆,午场,专业讲解型,9475.0,58239.0,28.67,112761,2378.0,991,8382,7,,71.42,0.1376,0.6434,0.2364,4.084,1
食品,早场,娱乐互动型,12975.0,69495.0,19.93,82257,949.0,364,8279,9,129291.94,66.76,0.1771,0.6737,0.3141,4.217,1
服饰,晚场,福利型,35704.0,92312.0,29.52,179497,4294.0,1301,41028,14,400882.88,117.21,0.1924,0.4855,0.4779,6.386,2
数码,晚场,专业讲解型,26332.0,128191.0,31.85,139948,5323.0,1081,27422,13,378113.94,88.9,0.0927,0.5952,0.313,7.82,2
食品,早场,娱乐互动型,14990.0,113141.0,38.68,377182,6986.0,1438,18849,14,454173.22,115.09,0.1479,0.5362,0.4231,7.601,2
服饰,晚场,测评型,8911.0,102735.0,32.96,99409,1132.0,357,12357,11,138928.52,73.76,0.2269,0.7292,0.2525,4.716,1
数码,晚场,测评型,24213.0,150168.0,30.1,133878,6158.0,1274,30417,16,391547.07,95.06,0.1755,0.5049,0.4727,9.461,2
数码,深夜场,娱乐互动型,9922.0,63009.0,24.57,114871,2315.0,513,8349,9,137763.75,106.42,0.267,0.7106,0.3103,2.678,1
服饰,晚场,专业讲解型,25493.0,143711.0,33.88,248494,3374.0,848,41362,14,493997.63,103.07,0.1664,0.5525,0.4478,8.232,2
服饰,晚场,测评型,4047.0,27177.0,20.92,40292,300.0,232,7759,3,130541.01,19.0,0.3028,0.7593,0.03,1.138,0
美妆,早场,测评型,24736.0,103753.0,24.55,229317,7932.0,1689,13762,9,356986.3,76.33,0.1715,0.5815,0.2956,7.237,2
数码,晚场,娱乐互动型,23611.0,83345.0,30.67,207535,5245.0,1460,28113,12,626074.12,123.04,0.1667,0.5754,0.3951,8.748,2
数码,晚场,专业讲解型,7231.0,30897.0,14.78,31202,669.0,100,4747,6,103263.74,45.43,0.3363,0.7296,0.11,1.584,0
美妆,早场,专业讲解型,16147.0,67398.0,19.42,160227,1591.0,433,16631,10,388908.05,80.48,0.2061,0.6111,0.1322,3.484,1
数码,午场,福利型,5531.0,20274.0,16.91,57374,1069.0,220,3254,7,21719.72,61.89,0.36,0.6393,0.1607,0.652,0
美妆,晚场,测评型,28284.0,140966.0,35.19,181058,13086.0,1165,27676,9,468292.42,125.65,0.1233,0.3774,0.4126,6.409,2
食品,午场,专业讲解型,3268.0,29112.0,18.65,18760,1189.0,240,6034,7,81709.99,64.37,0.3004,0.6145,0.0599,0.3,0
美妆,早场,福利型,45997.0,290878.0,47.59,305066,11251.0,2166,56492,18,297229.14,188.4,0.1398,0.4023,0.7042,10.719,3
食品,晚场,测评型,10306.0,29885.0,16.6,53339,981.0,176,5991,11,85712.22,57.1,0.276,0.8648,0.1321,1.488,0
数码,午场,娱乐互动型,36331.0,216944.0,50.08,499428,7521.0,2267,93154,20,989703.14,137.03,,0.3705,0.5814,11.846,3
服饰,晚场,福利型,19942.0,150360.0,30.12,127075,6320.0,1934,23537,12,404540.82,102.3,0.1503,0.4691,0.5614,8.669,2
数码,晚场,福利型,16107.0,61724.0,24.09,88965,2413.0,628,9289,6,223554.28,72.32,0.1538,0.7006,0.3572,3.35,1
服饰,午场,娱乐互动型,15392.0,121157.0,32.81,155829,4651.0,596,34971,11,474212.9,79.32,0.1496,0.5276,0.4091,7.573,2
美妆,午场,娱乐互动型,27492.0,165084.0,34.28,204357,7039.0,1901,31996,10,357549.94,100.05,0.1973,0.5483,0.5009,8.79,2
服饰,晚场,娱乐互动型,37070.0,292891.0,40.57,232454,9359.0,4946,69531,22,1230403.64,189.06,0.1262,0.4518,0.4476,11.014,3
数码,晚场,测评型,9290.0,40983.0,20.53,30832,785.0,175,5395,9,87247.86,90.55,0.3014,0.7412,0.2463,1.038,0
美妆,早场,测评型,15336.0,58373.0,22.13,103988,3233.0,566,12143,9,160484.12,73.08,0.2247,0.7974,0.2608,3.456,1
食品,晚场,福利型,9515.0,46050.0,16.81,49211,871.0,252,4643,6,80488.6,63.13,0.2597,0.7406,0.3166,1.868,0
美妆,午场,福利型,8413.0,56521.0,26.58,120223,2198.0,674,8414,8,178738.48,47.48,0.1794,0.5703,0.3411,2.439,1
服饰,早场,专业讲解型,3630.0,30688.0,8.0,53729,422.0,247,3160,8,199785.36,19.0,0.2943,0.6153,0.2141,0.944,0
美妆,晚场,测评型,16150.0,47649.0,27.97,73656,1101.0,879,10276,12,325689.98,61.63,0.217,0.6697,0.4021,3.561,1
服饰,午场,娱乐互动型,,80365.0,23.01,85128,1698.0,447,6704,7,304114.4,72.28,0.2447,0.4617,0.3255,3.831,1
美妆,午场,专业讲解型,9574.0,34106.0,26.69,92546,1612.0,332,6560,9,316606.98,79.66,0.1716,0.678,0.2757,2.981,1
食品,晚场,娱乐互动型,15120.0,53254.0,17.31,91509,2390.0,295,13155,10,215921.08,60.38,0.1857,0.7421,0.1591,3.99,1
美妆,晚场,娱乐互动型,15360.0,130812.0,34.45,129667,5887.0,1308,21159,14,262043.54,111.24,0.2267,0.6652,0.4412,5.712,2
数码,晚场,专业讲解型,28855.0,110900.0,35.03,379768,4207.0,659,16907,14,554678.9,120.78,0.1513,0.6164,0.3973,9.018,2
食品,晚场,测评型,22656.0,66810.0,25.58,70438,1245.0,439,14935,7,156614.14,78.8,0.2375,0.7914,0.3083,3.89,1
美妆,午场,专业讲解型,8399.0,44232.0,17.67,112287,1992.0,494,4580,13,131625.62,112.93,0.1693,0.595,0.1038,4.31,1
