用户ID,注册时长,最近活跃天数,活跃频率,访问时长,使用功能数,累计消费金额,最近消费金额,消费频率,客单价,评论数,分享数,点赞数,反馈次数,客服咨询次数,投诉次数,评分均值,是否流失
247,759,12.38,0.0,13.05,4.5,7.74,1.45,3.59,0.37,2,0,4,2,3.0,0,3.55,0
248,419,11.53,8.49,10.79,5.38,216.61,35.84,1.43,22.29,5,6,35,2,1.0,0,3.77,0
249,788,14.81,2.73,6.67,1.46,120.99,18.59,1.34,27.53,9,6,16,1,1.0,0,4.59,0
250,48,4.53,6.66,10.85,2.9,0.0,0.0,1.41,0.0,7,5,29,0,1.0,0,4.05,0
251,185,4.62,6.44,10.65,5.22,182.9,13.05,0.15,0.0,8,4,37,0,1.0,0,3.48,0
252,497,28.84,8.62,9.47,4.38,0.0,0.0,0.46,0.0,11,6,56,3,1.0,0,4.21,0
253,193,6.04,7.23,11.61,5.99,0.0,0.0,1.02,0.0,14,1,42,0,0.0,0,4.18,0
254,334,8.95,0.0,20.57,2.77,0.0,0.0,2.85,0.0,0,0,7,3,3.0,1,4.0,1
255,662,9.72,3.76,14.7,6.63,31.85,3.99,1.56,2.83,5,3,30,2,1.0,1,4.19,0
256,150,7.03,6.16,28.33,2.83,461.21,29.89,1.07,49.65,3,4,31,2,3.0,2,3.81,1
257,679,17.73,5.29,14.52,8.49,0.0,0.0,2.95,0.0,5,2,38,2,1.0,0,3.83,0
258,109,16.67,7.04,11.76,1.77,4767.61,643.71,3.31,184.01,7,5,42,0,0.0,0,4.02,0
259,180,11.13,7.85,13.52,3.01,728.17,68.36,2.98,30.5,5,6,39,3,2.0,1,4.41,1
260,590,7.39,7.38,15.04,6.03,1236.72,215.25,0.66,379.46,8,5,56,1,1.0,0,3.95,0
261,794,10.44,5.24,16.11,8.53,643.59,82.77,1.06,139.58,4,6,28,0,1.0,0,4.03,0
262,176,13.19,1.0,25.96,5.83,2323.1,4.82,3.6,143.69,6,2,6,0,0.0,0,3.42,0
263,304,6.54,4.62,8.43,6.33,0.0,0.0,1.87,0.0,7,3,29,1,1.0,0,4.23,0
264,925,18.69,6.88,18.65,5.24,0.0,0.0,1.31,0.0,6,6,33,0,3.0,1,4.09,1
265,989,24.71,2.96,14.75,3.15,8.24,1.66,2.39,0.87,10,2,15,0,1.0,0,3.16,1
266,583,32.2,7.44,4.07,4.22,455.01,41.41,2.71,22.06,5,4,28,1,1.0,0,3.66,1
267,450,30.89,8.16,18.12,2.78,219.43,27.73,0.97,60.47,8,3,47,0,1.0,1,3.12,0
268,351,9.67,6.13,21.11,2.64,281.38,29.4,1.84,47.93,7,4,33,1,0.0,0,4.68,0
269,615,13.69,0.0,8.36,6.0,,147.56,2.62,92.01,0,1,7,1,3.0,0,3.2,1
270,593,10.96,2.48,13.45,2.95,341.14,5.05,0.32,242.67,6,1,20,2,4.0,0,4.21,1
271,299,10.93,,3.15,5.84,646.87,127.69,1.61,40.41,12,8,48,1,3.0,0,4.64,0
272,29,10.38,4.38,5.95,2.6,0.0,0.0,0.37,0.0,5,7,33,0,1.0,0,4.35,0
273,157,12.56,0.64,19.79,5.79,0.0,0.0,0.52,0.0,0,0,10,0,0.0,0,4.01,0
274,958,27.52,9.01,10.7,4.22,1776.6,217.53,0.98,413.89,3,4,41,2,1.0,0,4.44,0
275,422,15.74,5.83,6.85,8.01,196.26,2.49,2.12,16.44,3,3,38,2,1.0,0,4.82,0
276,485,4.34,8.67,14.88,5.85,0.0,0.0,1.25,0.0,8,0,38,0,0.0,0,,0
277,470,23.99,6.52,10.37,7.67,0.0,0.0,0.89,0.0,7,1,30,1,1.0,0,3.02,1
278,784,14.66,6.99,10.68,3.69,0.0,,1.66,0.0,1,3,26,0,0.0,0,4.88,0
279,71,17.88,6.74,17.94,5.31,0.0,0.0,0.34,0.0,10,4,37,1,0.0,0,4.47,0
280,89,15.52,7.61,6.53,3.24,0.0,0.0,2.07,0.0,7,2,36,1,0.0,1,3.88,0
281,280,16.04,11.72,8.07,4.37,0.0,0.0,2.84,0.0,12,8,55,1,0.0,0,3.16,0
282,490,16.59,8.32,14.42,4.68,81.95,11.75,1.51,7.76,10,6,41,1,2.0,0,4.09,0
283,673,2.14,1.69,19.32,3.75,0.0,0.0,1.38,0.0,3,1,8,1,1.0,1,3.42,0
284,494,17.72,6.96,20.93,2.77,970.68,48.44,2.01,60.91,6,2,44,3,2.0,0,3.58,1
285,445,6.8,8.77,9.51,2.37,290.81,28.18,0.0,0.0,5,2,31,1,0.0,0,4.17,0
286,938,8.37,8.93,19.12,1.0,276.01,50.74,2.19,20.13,13,3,47,1,1.0,0,3.96,0
287,166,12.48,4.69,8.8,3.09,0.0,0.0,5.01,0.0,5,5,25,3,1.0,0,3.99,0
288,574,35.6,8.83,24.46,6.45,107.44,1.62,1.47,8.01,9,4,45,0,1.0,0,4.66,0
289,545,5.09,8.21,6.7,2.0,328.83,32.04,1.47,51.12,7,3,49,2,1.0,0,4.39,0
290,477,12.16,12.49,21.47,2.46,575.67,39.49,2.42,27.99,19,2,65,0,0.0,0,3.98,0
291,808,10.18,3.85,9.56,8.78,117.27,16.55,3.41,4.77,9,5,31,0,1.0,0,3.91,0
292,272,23.76,4.48,25.58,3.93,936.93,126.68,2.67,51.99,8,4,20,2,4.0,1,3.65,1
293,954,9.96,5.0,17.05,5.84,156.66,0.36,0.0,0.0,6,1,30,0,0.0,0,4.11,0
294,336,14.79,4.53,7.4,6.48,641.45,85.76,2.22,32.2,3,2,34,0,1.0,0,4.57,0
295,548,5.1,3.49,10.37,6.53,0.0,0.0,4.43,0.0,5,7,22,0,1.0,0,3.68,0
296,524,26.54,0.0,18.19,2.16,0.0,0.0,2.28,0.0,2,0,5,2,3.0,1,4.7,1
297,850,3.19,4.67,19.82,4.74,277.61,3.6,0.33,251.76,8,3,19,0,0.0,0,4.57,0
298,442,17.54,6.76,13.08,1.96,583.24,38.96,1.91,49.75,7,1,36,3,3.0,0,2.74,1
299,289,14.86,4.52,13.77,10.09,467.19,43.3,0.19,0.0,8,3,25,3,2.0,1,3.95,1
300,28,16.49,10.83,18.05,2.01,365.35,14.45,2.96,15.48,11,5,46,0,1.0,0,4.82,0
301,368,3.24,5.83,14.29,3.1,34.69,3.21,0.55,18.84,3,4,30,0,0.0,1,4.11,0
302,827,9.79,9.16,5.74,3.12,0.0,0.0,1.68,0.0,9,2,53,2,1.0,1,,0
303,16,22.97,6.48,8.62,2.21,450.45,11.22,0.66,78.1,7,5,32,2,2.0,0,4.22,1
304,896,39.17,7.95,14.91,7.91,367.97,54.13,1.0,53.96,5,3,45,2,2.0,0,4.35,1
305,546,11.47,6.53,20.79,10.04,0.0,0.0,3.23,0.0,11,4,35,1,,0,4.67,0
306,146,21.49,9.36,23.2,4.25,973.44,152.35,1.71,81.88,9,3,42,4,3.0,1,3.12,1
307,307,13.81,5.95,18.18,2.56,0.0,0.0,0.98,0.0,7,2,46,0,1.0,0,3.92,0
308,557,11.93,7.09,15.22,1.0,0.0,0.0,0.34,0.0,8,4,35,1,2.0,1,4.8,0
309,320,8.9,6.75,17.99,4.71,1822.32,156.94,0.0,0.0,7,2,41,1,0.0,0,4.27,0
310,114,12.53,5.05,9.5,4.57,711.58,124.76,0.22,338.91,6,6,27,0,0.0,0,5.0,0
311,668,20.18,6.85,12.58,3.9,32.02,5.52,1.72,3.38,12,3,29,2,1.0,0,5.0,0
312,674,21.35,11.61,8.56,5.64,287.74,23.77,2.68,11.91,12,4,68,1,1.0,1,3.63,1
313,125,3.95,5.1,6.01,5.99,220.97,30.27,0.98,23.83,7,9,26,2,0.0,0,3.59,0
314,286,8.25,6.89,15.5,5.85,0.0,0.0,3.33,0.0,5,4,38,1,1.0,0,4.1,0
315,249,4.87,9.07,14.61,4.57,0.0,0.0,0.81,0.0,9,5,44,0,0.0,0,4.85,0
316,661,13.01,,17.63,3.0,133.43,2.39,1.34,12.51,13,8,35,1,1.0,0,4.93,0
317,732,9.51,5.83,16.78,6.53,32.42,3.1,0.41,9.47,8,4,32,2,0.0,0,5.0,0
318,728,16.09,0.0,14.96,5.23,266.51,,2.69,17.24,0,0,4,2,3.0,0,4.23,1
319,939,16.9,7.14,16.84,6.98,998.23,194.0,3.91,33.63,10,3,31,2,,0,4.52,0
320,770,1.04,0.03,13.24,6.78,42.5,4.16,0.0,0.0,2,2,7,0,0.0,0,3.86,0
321,325,12.46,9.62,15.98,2.36,0.0,0.0,1.22,0.0,20,5,42,1,0.0,0,2.87,0
322,113,27.89,6.24,9.14,2.33,308.27,24.44,2.99,12.83,12,6,29,2,2.0,0,4.23,1
323,617,8.25,8.4,15.72,3.69,41.02,2.61,0.01,0.0,8,9,40,0,,0,3.62,0
324,916,8.05,3.45,17.51,3.09,95.14,4.25,2.22,10.42,2,3,23,1,0.0,0,4.6,0
325,975,24.69,1.76,9.48,6.71,51.34,10.3,2.94,4.44,2,2,13,1,2.0,1,2.87,1
326,235,22.04,6.48,13.81,5.9,3546.51,623.77,1.69,220.78,8,2,34,0,1.0,1,3.49,0
327,241,5.35,5.71,9.76,7.4,0.0,0.0,2.21,0.0,4,3,27,0,0.0,0,4.4,0
328,44,20.56,4.52,10.34,5.99,23.6,3.88,3.54,0.78,5,3,26,1,1.0,1,4.1,1
329,147,6.48,6.02,6.75,5.62,151.94,13.99,3.74,10.63,5,10,26,1,2.0,0,4.22,0
330,557,7.98,13.0,21.09,7.6,0.0,0.0,1.53,0.0,12,7,86,2,3.0,0,5.0,0
331,549,5.34,7.97,19.89,6.14,742.1,86.26,1.01,169.72,9,4,40,0,0.0,0,5.0,0
332,375,3.92,8.53,16.72,5.34,659.83,18.88,0.59,201.14,11,8,46,1,1.0,0,3.87,0
333,314,13.59,7.99,25.33,8.16,134.62,6.22,2.67,10.34,7,6,57,0,0.0,0,5.0,0
334,830,3.34,9.65,12.36,5.43,57.76,8.85,0.09,0.0,5,5,55,0,0.0,0,5.0,0
335,463,14.01,5.31,31.69,4.59,110.7,6.26,1.32,20.87,5,7,32,1,1.0,0,4.18,0
336,809,13.68,0.46,12.13,3.52,113.29,22.23,1.71,8.79,1,1,7,0,1.0,0,4.27,0
337,963,11.07,5.31,15.03,6.61,123.02,17.79,1.05,11.89,11,0,34,1,2.0,0,4.22,0
338,321,8.58,7.91,11.11,7.67,84.29,15.43,1.91,5.66,4,6,36,0,0.0,0,3.9,0
339,208,7.24,3.28,15.73,5.1,269.28,36.45,4.42,17.14,0,3,24,1,0.0,0,3.95,0
340,953,4.73,5.34,18.51,7.82,606.81,115.99,1.47,44.24,4,2,33,0,0.0,0,4.98,0
341,637,32.36,4.0,12.82,1.26,0.0,0.0,1.12,0.0,9,2,21,1,1.0,0,4.49,1
342,295,10.69,9.71,24.16,5.09,0.0,0.0,2.72,0.0,4,6,56,0,0.0,0,3.95,0
343,624,10.41,7.75,14.93,5.12,0.0,0.0,1.86,0.0,10,3,38,1,1.0,1,3.39,0
344,518,5.58,7.49,15.12,3.75,709.49,141.07,3.18,24.35,3,4,39,1,0.0,0,3.83,0
345,906,30.11,7.42,8.05,9.97,268.18,9.73,1.78,23.75,8,5,41,1,0.0,0,4.16,0
346,261,7.64,5.7,16.01,5.07,418.65,53.24,1.33,46.96,9,2,28,1,0.0,0,4.75,0
347,991,15.01,6.31,12.7,4.38,0.0,0.0,0.0,0.0,9,4,34,0,2.0,2,3.08,1
348,936,17.17,2.72,9.85,5.25,2154.14,175.37,0.0,0.0,3,3,25,1,0.0,0,4.75,0
349,186,13.6,0.12,8.84,1.19,0.0,0.0,0.0,0.0,0,1,4,2,1.0,0,4.36,1
350,170,3.26,6.19,29.53,3.68,227.33,18.66,2.02,29.01,10,3,24,1,2.0,0,,0
351,536,19.95,6.64,11.92,7.17,698.03,26.61,0.1,0.0,10,4,31,5,5.0,3,3.76,1
352,51,7.57,8.94,4.76,3.94,0.0,0.0,2.98,0.0,11,4,35,0,0.0,0,4.71,0
353,303,21.88,9.89,9.31,3.54,0.0,0.0,1.63,0.0,11,5,46,0,0.0,0,3.48,0
354,439,11.86,9.88,13.19,7.82,232.59,0.78,1.33,30.03,12,3,62,1,2.0,2,2.95,1
355,969,17.93,3.21,16.78,7.88,6776.7,104.12,0.67,800.0,3,5,23,1,1.0,1,3.77,0
356,992,28.79,4.88,16.83,6.23,295.18,12.68,2.28,24.95,11,2,34,1,0.0,0,4.45,0
357,157,19.44,7.05,17.56,4.29,1760.95,298.04,0.72,585.3,3,2,30,0,0.0,0,5.0,0
358,892,18.24,12.38,9.63,4.72,1097.05,215.29,0.52,233.97,9,6,54,1,1.0,0,4.29,0
359,97,20.59,9.65,15.54,3.59,332.9,39.96,2.91,11.69,15,4,55,0,1.0,1,4.84,0
360,750,6.28,8.71,8.24,3.21,0.0,0.0,1.99,0.0,11,8,54,0,0.0,0,3.86,0
361,846,22.53,4.79,9.78,3.11,914.16,107.48,1.34,128.83,10,3,31,1,0.0,0,3.95,0
362,891,10.05,3.5,7.99,3.96,0.0,0.0,2.31,0.0,8,0,19,1,0.0,0,4.08,0
363,228,10.31,7.85,6.37,3.13,1749.95,288.54,1.61,333.66,8,6,45,0,1.0,0,3.8,0
364,894,13.28,2.94,19.89,2.07,242.75,15.55,2.02,20.89,4,2,16,2,0.0,0,4.89,0
365,122,9.32,5.18,17.63,5.64,0.0,0.0,0.7,0.0,4,5,32,0,2.0,0,2.73,0
366,522,5.16,5.5,19.36,5.67,,7.33,3.88,1.18,6,7,33,3,3.0,0,3.97,0
367,473,12.53,9.94,13.74,8.6,525.84,98.81,0.96,100.35,7,8,53,1,0.0,0,4.88,0
368,320,10.35,4.88,18.16,3.86,68.29,0.81,3.31,2.11,8,2,15,2,1.0,0,4.08,0
369,28,10.06,0.0,2.93,5.79,574.69,104.14,1.39,68.78,2,0,7,0,0.0,0,4.84,0
370,773,11.57,7.11,18.68,5.83,0.0,0.0,2.49,0.0,8,3,31,0,1.0,2,4.76,0
371,340,1.2,3.98,14.56,4.69,0.0,0.0,2.41,0.0,5,3,20,0,0.0,0,4.29,0
372,664,10.12,5.91,17.26,6.69,125.61,20.96,2.86,9.8,3,1,32,1,1.0,0,,0
373,414,31.22,5.57,15.78,6.75,166.37,19.63,0.68,26.78,7,2,34,0,0.0,0,5.0,0
374,378,29.59,5.09,7.58,5.85,34.75,3.17,2.78,2.26,2,1,32,1,3.0,0,4.47,1
375,887,12.86,7.85,4.51,4.69,1126.49,224.0,3.63,40.79,12,5,40,1,3.0,2,3.52,1
376,100,12.54,1.81,9.23,4.48,0.0,0.0,1.32,0.0,2,4,16,2,2.0,1,4.4,1
377,738,0.81,4.46,16.89,2.46,301.79,3.83,1.64,19.78,8,3,24,0,0.0,0,4.9,0
378,748,7.94,7.58,17.64,3.59,181.8,24.64,1.02,23.68,9,5,42,2,0.0,0,4.23,0
379,384,20.44,4.2,5.29,3.96,0.0,0.0,1.22,0.0,7,4,22,1,2.0,3,2.93,1
380,267,9.14,1.62,7.61,2.95,0.0,0.0,3.48,0.0,5,1,10,0,0.0,0,5.0,0
381,12,25.36,7.54,9.16,6.08,158.26,34.23,0.5,34.31,8,4,43,1,3.0,1,3.75,1
382,937,24.33,8.72,11.36,7.59,2675.44,403.81,0.56,695.18,12,6,39,1,2.0,0,4.91,0
383,948,7.81,5.68,5.33,3.38,,10.77,3.37,27.9,4,6,28,0,1.0,0,4.39,0
384,246,13.6,0.7,4.97,5.77,0.0,0.0,2.29,0.0,3,1,8,1,1.0,0,5.0,0
385,38,32.87,7.64,8.57,3.13,0.0,0.0,3.93,0.0,9,3,49,1,3.0,0,3.78,1
386,128,3.18,1.48,14.02,4.59,589.71,129.31,1.1,102.7,5,2,9,4,4.0,1,3.43,1
387,74,9.3,6.6,6.42,3.82,116.42,2.52,1.74,9.91,6,2,41,1,0.0,0,4.72,0
388,832,2.85,3.49,12.81,6.4,1013.03,22.36,0.87,215.68,8,2,24,0,,0,3.63,0
389,892,5.88,2.78,19.85,3.84,0.0,0.0,1.76,0.0,7,2,13,0,0.0,0,4.31,0
390,159,39.32,4.65,5.69,7.22,322.61,4.57,0.0,0.0,4,4,30,2,,2,4.4,1
391,748,9.3,5.32,12.26,4.71,690.28,10.41,2.35,75.0,8,5,31,1,,0,3.27,1
392,185,1.63,4.13,19.65,3.9,7.89,1.54,1.96,1.24,10,2,22,0,0.0,0,4.47,0
393,371,5.11,7.33,10.99,2.69,13.46,2.37,1.54,2.14,10,4,34,0,0.0,0,4.92,0
394,602,2.53,4.64,10.06,5.71,163.75,31.76,1.17,14.47,7,1,27,1,1.0,0,4.24,0
395,721,14.0,8.35,20.48,6.99,444.14,63.56,0.62,102.63,13,9,40,0,0.0,0,,0
396,875,16.99,6.53,11.66,5.75,147.69,10.48,2.4,9.58,10,4,43,0,0.0,0,4.11,0
397,51,22.74,3.99,20.13,9.68,818.48,163.2,0.31,461.32,5,5,28,2,2.0,0,3.79,0
398,202,19.68,3.55,16.07,8.06,4.19,0.28,2.16,0.24,7,3,19,2,2.0,1,3.94,1
399,285,3.35,1.52,11.44,4.58,0.0,0.0,3.88,0.0,9,2,11,0,2.0,1,3.75,1
400,315,16.38,6.56,16.38,4.56,2663.11,519.33,3.23,166.93,8,3,30,2,3.0,1,3.62,0
401,998,11.18,4.88,15.42,6.14,0.0,0.0,0.0,0.0,9,2,18,4,4.0,0,4.51,1
402,778,25.01,0.0,19.63,3.52,0.0,0.0,1.01,0.0,2,2,7,1,2.0,0,5.0,0
403,325,21.26,4.41,10.21,7.53,127.74,4.38,2.06,7.38,4,5,23,1,0.0,0,4.43,0
404,972,42.71,3.46,13.75,5.92,181.46,38.02,1.52,12.84,7,1,16,0,0.0,0,4.99,0
405,502,5.5,9.9,13.13,5.71,24.05,,0.06,0.0,11,6,55,0,1.0,0,5.0,0
406,504,4.8,1.37,17.72,6.57,146.46,21.52,2.02,16.87,5,4,13,1,0.0,0,3.93,0
407,437,8.36,2.05,7.35,8.65,137.7,27.69,1.59,23.81,2,0,9,1,0.0,0,4.4,0
408,149,11.53,8.69,19.6,5.54,230.5,19.31,3.71,14.86,15,3,42,0,1.0,0,4.02,0
409,934,7.04,9.33,16.3,4.97,0.0,,1.32,0.0,10,3,48,1,1.0,0,3.43,0
410,20,5.77,3.86,5.6,8.22,2396.19,337.56,2.88,88.39,4,4,20,2,2.0,0,4.45,0
411,180,15.61,4.16,20.75,7.14,98.18,17.01,0.21,50.23,3,6,17,1,2.0,0,3.67,0
412,235,8.34,7.4,26.9,4.56,470.99,92.94,0.47,197.31,11,7,40,3,3.0,2,3.82,1
413,284,6.79,0.0,19.51,5.21,0.0,0.0,2.39,0.0,2,1,2,1,1.0,0,3.39,0
414,137,3.34,0.96,22.06,5.59,1.89,0.03,2.79,0.1,4,2,9,3,1.0,0,4.34,0
415,24,0.92,5.07,14.01,5.92,0.0,0.0,0.55,0.0,8,4,28,1,1.0,0,3.39,0
416,679,30.22,9.83,3.53,2.49,1504.12,315.68,1.63,135.23,13,7,48,2,0.0,0,4.62,0
417,969,29.62,4.67,2.44,2.12,0.0,0.0,0.08,0.0,10,1,34,1,0.0,0,4.03,1
418,127,21.71,6.06,15.03,3.43,610.99,130.04,1.4,122.72,6,3,22,2,0.0,0,3.98,0
419,301,18.29,8.75,9.95,3.27,0.0,0.0,2.52,0.0,11,2,46,1,1.0,0,4.87,0
420,509,7.71,11.28,8.01,3.91,6.56,0.55,1.12,0.98,15,7,51,0,0.0,0,4.07,0
421,928,18.82,4.3,13.12,6.47,65.59,10.96,1.33,9.07,4,1,30,2,2.0,0,4.31,0
422,696,4.48,5.76,17.19,4.86,1206.58,199.85,0.36,614.77,7,2,26,0,0.0,0,4.14,0
423,767,13.36,10.54,4.78,5.59,0.0,0.0,0.89,0.0,9,4,65,3,5.0,1,4.18,1
424,584,6.29,1.84,10.81,2.75,0.0,0.0,3.53,0.0,2,2,17,2,5.0,1,4.47,1
425,421,18.88,8.47,22.56,4.28,0.0,0.0,1.68,0.0,9,6,42,3,1.0,1,4.36,1
426,205,34.35,3.15,7.05,6.37,0.0,0.0,0.5,0.0,5,2,18,2,2.0,1,3.64,1
427,865,5.1,6.07,18.72,6.39,0.0,0.0,1.25,0.0,9,6,31,4,1.0,1,4.56,0
428,805,8.03,5.17,10.59,3.75,0.0,0.0,0.0,0.0,6,1,17,1,0.0,1,3.4,0
429,31,13.17,3.31,16.77,5.52,0.0,0.0,0.48,0.0,8,3,23,4,3.0,0,3.84,1
430,717,1.9,3.24,20.08,9.6,0.0,0.0,3.1,0.0,8,3,19,0,2.0,1,3.83,0
431,90,2.66,6.52,17.95,5.16,0.0,0.0,1.44,0.0,9,3,36,0,0.0,0,4.83,0
432,740,33.69,8.39,18.95,3.81,1089.99,223.45,3.68,61.38,9,6,43,0,0.0,0,3.61,0
433,827,15.66,5.46,6.59,4.85,,36.6,1.5,76.39,9,5,33,2,1.0,1,4.39,1
434,137,7.35,5.98,20.18,5.38,236.61,21.51,1.56,33.6,6,1,30,0,2.0,0,4.22,0
435,437,12.13,7.29,8.38,4.9,0.0,0.0,2.3,0.0,6,5,50,1,3.0,1,3.66,1
436,129,8.39,3.27,15.06,5.14,0.0,0.0,0.0,0.0,4,3,20,3,3.0,1,4.5,1
437,570,13.47,7.72,15.05,2.31,0.0,0.0,1.83,0.0,13,9,41,0,0.0,0,3.81,0
438,928,8.65,7.93,16.41,3.27,136.37,22.39,1.55,15.39,13,2,42,0,1.0,0,5.0,0
439,87,11.41,12.57,15.52,4.9,711.19,125.38,3.23,41.99,12,8,64,2,2.0,1,3.8,0
440,401,20.07,4.82,8.44,4.87,744.63,143.48,2.66,27.98,13,4,35,0,1.0,1,3.98,0
441,973,19.17,4.61,5.4,4.07,507.95,27.13,0.35,171.63,11,2,21,1,0.0,0,5.0,0
442,305,32.44,7.8,18.73,4.85,0.0,0.0,2.97,0.0,14,3,41,1,2.0,1,4.0,0
443,138,16.47,7.93,14.62,5.32,163.46,8.04,1.31,26.06,7,4,28,1,1.0,0,4.9,0
444,492,12.73,4.41,20.4,6.98,42.56,0.35,0.61,13.4,7,1,15,0,1.0,1,2.83,1
445,511,35.66,4.75,13.23,5.0,79.91,12.44,1.82,6.66,8,2,24,0,0.0,0,4.01,0
446,665,10.51,7.21,5.07,6.0,2843.71,343.45,1.38,303.95,15,3,49,0,2.0,0,4.47,0
447,318,1.06,3.65,19.3,4.12,0.0,0.0,3.29,0.0,7,0,30,1,3.0,0,4.84,0
448,955,21.9,4.73,11.28,6.34,69.04,1.33,1.97,3.6,5,4,23,0,0.0,0,4.67,0
449,524,15.09,6.03,15.55,5.95,1105.26,242.07,1.83,86.1,16,1,32,2,2.0,0,4.62,0
450,291,12.28,8.39,9.62,6.93,0.0,0.0,2.59,0.0,8,4,40,0,0.0,1,4.48,0
451,960,22.3,4.23,23.37,6.63,0.0,0.0,2.8,0.0,5,2,23,3,1.0,2,3.81,1
452,925,8.71,1.01,8.24,6.38,0.0,0.0,2.46,0.0,3,1,12,1,1.0,1,2.72,1
453,502,1.14,0.82,11.48,5.0,72.7,3.9,3.16,2.82,3,3,11,0,1.0,0,,0
454,31,22.6,2.53,14.14,5.69,0.0,0.0,2.27,0.0,4,1,14,2,2.0,2,3.09,1
455,599,7.13,2.39,6.95,7.33,481.64,93.16,1.78,37.67,5,2,14,0,0.0,0,4.42,0
456,558,5.29,5.4,15.48,3.9,535.47,95.97,2.96,23.76,11,1,21,1,1.0,0,,0
457,154,1.23,2.71,23.17,3.94,420.74,75.14,1.5,31.7,3,4,24,0,0.0,1,3.93,0
458,636,21.31,3.97,10.56,5.56,0.0,0.0,1.64,0.0,6,2,21,0,1.0,0,3.64,0
459,841,0.58,3.79,15.87,6.03,189.88,34.25,3.49,5.94,6,5,25,0,0.0,0,3.18,0
460,112,28.64,4.65,1.0,3.55,0.0,0.0,3.38,0.0,8,1,28,1,3.0,0,3.7,1
461,725,9.43,9.24,13.27,5.05,39.28,1.14,1.59,6.72,12,2,52,1,1.0,0,4.7,0
462,146,22.02,7.52,11.62,5.01,3225.41,81.02,1.1,783.37,7,5,37,0,0.0,0,3.45,0
463,750,16.83,5.84,8.59,1.0,193.94,32.94,3.21,13.78,10,4,32,1,1.0,0,3.77,0
464,423,40.04,4.6,19.99,4.76,0.0,0.0,2.48,0.0,3,6,24,3,2.0,0,4.48,1
465,13,16.51,4.67,11.54,4.89,233.15,26.64,1.95,18.49,3,6,28,2,0.0,0,3.68,0
466,966,27.93,6.65,12.44,4.88,0.0,0.0,1.25,0.0,4,2,33,0,1.0,0,3.95,0
467,171,7.82,7.32,11.24,8.03,0.0,0.0,1.96,0.0,10,3,49,0,0.0,0,4.3,0
468,598,2.65,3.44,2.0,2.77,0.0,0.0,1.58,0.0,8,1,21,0,0.0,0,4.41,0
469,187,24.4,5.89,6.71,3.55,8.71,0.79,0.87,2.42,5,4,24,0,0.0,0,3.67,0
470,933,2.56,0.52,19.27,1.0,779.64,103.81,1.74,62.2,2,1,6,2,2.0,0,4.33,0
471,740,21.15,6.35,1.0,4.24,469.39,78.51,1.89,26.11,8,3,23,2,1.0,0,4.47,0
472,805,4.71,,8.9,4.41,430.61,53.46,1.19,41.09,5,3,46,2,3.0,0,3.55,0
473,436,15.3,5.07,11.1,4.18,0.0,0.0,2.59,0.0,4,4,23,0,1.0,1,4.02,0
474,471,40.53,10.52,23.96,7.42,0.0,0.0,3.02,0.0,7,7,57,0,0.0,0,3.86,0
475,636,20.01,3.51,18.11,6.92,279.54,43.37,2.67,26.61,6,3,21,1,1.0,0,4.32,0
476,786,10.54,6.37,10.16,5.36,0.0,0.0,1.3,0.0,8,6,36,0,0.0,0,4.65,0
477,848,17.12,5.71,21.33,4.46,55.4,0.76,2.43,3.77,7,4,36,0,0.0,0,4.15,0
478,24,8.06,5.54,9.06,7.25,377.26,62.66,1.69,61.71,8,6,33,1,2.0,0,4.75,0
479,665,50.86,5.5,19.55,5.16,34.64,3.92,0.24,26.15,7,4,27,3,3.0,1,4.33,1
480,115,6.67,6.08,5.35,3.56,255.76,4.2,2.34,23.94,7,5,39,1,0.0,1,4.4,0
481,292,11.47,8.0,19.94,1.77,1733.72,258.99,1.76,104.59,8,5,35,0,0.0,0,4.47,0
482,830,18.77,9.38,11.06,4.32,89.73,14.14,4.45,2.2,6,4,53,2,1.0,0,4.86,0
483,255,16.23,5.79,7.33,6.71,1062.04,122.34,3.2,37.97,4,4,35,2,1.0,0,4.46,0
484,798,17.58,7.92,12.2,9.75,455.83,79.6,2.38,23.92,5,3,42,3,1.0,1,2.98,1
485,466,8.2,3.98,15.16,5.32,0.0,0.0,1.87,0.0,4,3,19,0,0.0,0,3.81,0
486,238,10.2,7.79,10.53,3.67,0.0,0.0,1.78,0.0,9,2,40,0,0.0,1,3.78,0
487,338,23.64,3.82,16.82,2.83,0.0,0.0,0.5,0.0,13,4,24,0,0.0,0,4.2,0
488,534,22.84,8.64,10.0,6.3,0.0,0.0,0.0,0.0,6,4,47,0,1.0,0,4.45,0
489,766,16.52,11.55,17.22,1.67,118.6,18.16,0.64,33.16,7,5,57,1,0.0,0,3.81,0
490,608,30.28,5.48,16.15,6.3,495.94,92.25,1.55,50.8,3,2,21,0,0.0,1,5.0,0
491,933,24.28,0.1,13.13,6.84,1165.39,184.83,0.0,0.0,1,1,6,1,0.0,0,4.19,0
492,868,22.37,4.38,10.85,6.07,299.04,11.45,1.0,63.83,5,5,15,1,0.0,0,4.25,0
493,755,2.51,9.0,14.41,4.76,8.35,0.67,1.33,1.21,9,4,35,1,1.0,0,3.88,0
494,605,16.37,7.24,16.8,6.33,0.0,0.0,1.36,0.0,5,8,34,4,2.0,1,3.35,0
495,294,14.3,6.45,25.87,5.54,182.94,27.64,0.87,29.04,7,1,33,0,0.0,0,4.18,0
